CHAMBER,FILENAME,TIMEPOINT,NOTES
STD,07182023_001,STD,
STD,07182023_002,STD,
STD,07182023_003,STD,
STD,07182023_004,STD,
STD,07182023_005,STD,
STD,07182023_006,STD,
SW 1-1,07182023_007,T0,
SW 1-2,07182023_008,T0,
SW 1-3,07182023_009,T0,
SW 1-4,07182023_010,T0,
UP 1-1,07182023_011,T0,
UP 1-2,07182023_012,T0,
UP 1-3,07182023_013,T0,
UP 1-4,07182023_014,T0,
STD,07182023_015,STD,
SW 2-1,07182023_016,T0,
SW 2-2,07182023_017,T0,
SW 2-3,07182023_018,T0,
SW 2-4,07182023_019,T0,
UP 2-1,07182023_020,T0,
UP 2-2,07182023_021,T0,
UP 2-3,07182023_022,T0,
UP 2-4,07182023_023,T0,
STD,07182023_024,STD,
SW 1-1,07182023_025,T1,
SW 1-2,07182023_026,T1,
SW 1-3,07182023_027,T1,
SW 1-4,07182023_028,T1,
UP 1-1,07182023_029,T1,
UP 1-2,07182023_030,T1,
UP 1-3,07182023_031,T1,
UP 1-4,07182023_032,T1,
STD,07182023_033,STD,
SW 2-1,07182023_034,T1,
SW 2-2,07182023_035,T1,
SW 2-3,07182023_036,T1,
SW 2-4,07182023_037,T1,
UP 2-1,07182023_038,T1,
UP 2-2,07182023_039,T1,
UP 2-3,07182023_040,T1,
UP 2-4,07182023_041,T1,
STD,07182023_042,STD,
SW 1-1,07182023_043,T2,
SW 1-2,07182023_044,T2,
SW 1-3,07182023_045,T2,
SW 1-4,07182023_046,T2,
UP 1-1,07182023_047,T2,
UP 1-2,07182023_048,T2,
UP 1-3,07182023_049,T2,
UP 1-4,07182023_050,T2,
STD,07182023_051,STD,
SW 2-1,07182023_052,T2,
SW 2-2,07182023_053,T2,
SW 2-3,07182023_054,T2,
SW 2-4,07182023_055,T2,
UP 2-1,07182023_056,T2,
UP 2-2,07182023_057,T2,
UP 2-3,07182023_058,T2,
UP 2-4,07182023_059,T2,
STD,07182023_060,STD,
SW 1-1,07182023_061,T3,
SW 1-2,07182023_062,T3,
SW 1-3,07182023_063,T3,
SW 1-4,07182023_064,T3,
UP 1-1,07182023_065,T3,
UP 1-2,07182023_066,T3,
UP 1-3,07182023_067,T3,
UP 1-4,07182023_068,T3,
STD,07182023_069,STD,
SW 2-1,07182023_070,T3,
SW 2-2,07182023_071,T3,
SW 2-3,07182023_072,T3,
SW 2-4,07182023_073,T3,
UP 2-1,07182023_074,T3,
UP 2-2,07182023_075,T3,
UP 2-3,07182023_076,T3,
UP 2-4,07182023_077,T3,
STD,07182023_078,STD,
SW 1-1,07182023_079,T4,
SW 1-2,07182023_080,T4,
SW 1-3,07182023_081,T4,
SW 1-4,07182023_082,T4,
UP 1-1,07182023_083,T4,
UP 1-2,07182023_084,T4,
UP 1-3,07182023_085,T4,
UP 1-4,07182023_086,T4,
STD,07182023_087,STD,
SW 2-1,07182023_088,T4,
SW 2-2,07182023_089,T4,
SW 2-3,07182023_090,T4,
SW 2-4,07182023_091,T4,
UP 2-1,07182023_092,T4,
UP 2-2,07182023_093,T4,
UP 2-3,07182023_094,T4,
UP 2-4,07182023_095,T4,
